,place,medium,large,control,zhvi_2312,treatment,pop_19,pop_growth,under_eighteen_2022,white_2022,black_2022,hisp_2022,race_other_2022,median_income_2022,pct_renter_2022,bach_edu_2022,one_unit_bldgs,one_unit_units,two_unit_bldgs,two_unit_units,three_unit_bldgs,three_unit_units,five_unit_bldgs,five_unit_units,one_unit_bldgs_21,two_unit_bldgs_21,three_unit_bldgs_21,five_unit_bldgs_21,one_unit_bldgs_20,two_unit_bldgs_20,three_unit_bldgs_20,five_unit_bldgs_20,large21
30,Sandy,1,0,0,496216.1828722651,Medium,11075,1.6341561654870822,23.3,84.5,0.1,6.2,9.2,107654.0,23.34169136083884,21.8,1.6252821670428894,1.6252821670428894,0.4514672686230249,0.9029345372460498,0.0,0.0,0.0,0.0,5.327313769751694,0.09029345372460497,0.0,0.5417607223476298,7.313769751693003,0.18058690744920994,0.0,0.0,0
31,Cottage Grove,1,0,0,380071.2512481432,Medium,10140,0.4980250729864331,21.3,78.3,0.9,10.2,10.600000000000005,67326.0,40.57007125890736,20.2,0.6903353057199211,0.6903353057199211,0.0,0.0,0.0,0.0,0.09861932938856015,1.1834319526627217,2.662721893491124,0.09861932938856015,0.09861932938856015,1.0848126232741617,1.8737672583826428,0.1972386587771203,0.09861932938856015,0.0,0
32,Astoria,0,0,1,465424.4556473199,Control,9690,0.25212547639988275,20.1,77.6,0.8,13.3,8.300000000000004,88268.0,48.07692307692308,31.7,0.412796697626419,0.412796697626419,0.10319917440660475,0.2063983488132095,0.0,0.0,0.0,0.0,0.10319917440660475,0.0,0.0,0.0,0.5159958720330238,0.0,0.0,0.0,0
33,Ontario,1,0,0,276916.33281353605,Medium,11485,0.1173192550227306,26.3,49.5,0.2,46.9,3.3999999999999986,56795.0,47.46376811594203,16.7,0.957771005659556,0.957771005659556,0.0,0.0,0.0,0.0,0.0,0.0,1.1319111885067479,0.0,0.0,0.0,0.261210274270788,0.0,0.0,0.0,0
34,Silverton,1,0,0,513275.5660476312,Medium,10380,1.3843746238112435,27.8,77.8,3.4,12.0,6.800000000000004,89433.0,39.889994761655316,28.4,1.0597302504816954,1.0597302504816954,0.19267822736030826,0.3853564547206165,0.0,0.0,0.0,0.0,2.5048169556840074,0.0,0.0,0.0,5.684007707129094,0.0,0.09633911368015413,0.0,0
35,Eagle Point,0,0,1,443976.9348177129,Control,9260,1.0363373999737635,29.2,85.6,1.5,10.1,2.800000000000006,70332.0,29.024045261669023,16.9,3.347732181425486,3.347732181425486,0.0,0.0,0.32397408207343414,0.9719222462203024,0.0,0.0,8.963282937365012,0.2159827213822894,0.1079913606911447,0.0,7.019438444924406,0.1079913606911447,0.0,0.0,0
36,Junction City,0,0,1,458565.7682193904,Control,6170,1.5142214037241661,20.4,82.6,0.0,11.8,5.600000000000005,87880.0,40.76479076479077,19.0,15.721231766612641,15.721231766612641,1.2965964343598055,2.593192868719611,0.0,0.0,0.0,0.0,0.3241491085899514,0.1620745542949757,0.0,0.0,0.3241491085899514,1.4586709886547813,0.0,2.593192868719611,0
37,Sweet Home,0,0,1,339461.7306945053,Control,9340,0.49065275448729895,21.1,87.1,1.5,6.5,4.900000000000006,60028.0,35.21162672106068,8.8,0.7494646680942184,0.7494646680942184,0.6423982869379015,1.284796573875803,0.0,0.0,0.0,0.0,2.9978586723768736,0.0,0.0,0.9635974304068523,2.355460385438972,0.0,0.0,0.4282655246252677,0
38,North Bend,0,0,1,352691.86592618265,Control,9925,0.2635952094435849,19.1,78.2,1.1,7.2,13.499999999999996,90192.0,40.86895910780669,27.8,1.0075566750629723,1.0075566750629723,0.20151133501259444,0.4030226700251889,0.0,0.0,0.0,0.0,2.2166246851385387,0.0,0.0,0.0,2.0151133501259446,0.0,0.0,0.0,0
39,Cornelius,0,1,0,464571.1499615391,Large,12225,0.32748538011695905,24.1,45.5,1.0,48.2,5.299999999999997,76530.0,26.01551802829758,14.8,6.4621676891615545,6.4621676891615545,0.0,0.0,0.0,0.0,0.0,0.0,28.139059304703476,0.081799591002045,0.24539877300613497,0.081799591002045,20.12269938650307,0.0,0.0,0.0,0
40,Monmouth,0,0,1,442938.3179510728,Control,9920,0.4365287235900122,21.8,72.5,0.6,17.7,9.2,77933.0,56.04886769964243,29.1,3.2258064516129035,3.2258064516129035,0.10080645161290323,0.20161290322580647,0.0,0.0,0.0,0.0,5.040322580645161,0.10080645161290323,0.0,0.0,0.8064516129032259,0.10080645161290323,0.0,0.10080645161290323,0
41,Scappoose,0,0,1,469176.4609439991,Control,7270,1.0725657784481313,24.8,87.0,0.1,6.6,6.300000000000001,106184.0,21.845318860244234,22.7,1.237964236588721,1.237964236588721,0.0,0.0,0.0,0.0,0.0,0.0,0.4126547455295736,0.27510316368638243,0.0,0.27510316368638243,2.2008253094910595,0.0,0.27510316368638243,0.0,0
42,Independence,0,0,1,392442.1191982511,Control,9530,1.2015503875968991,25.6,55.7,0.6,38.2,5.499999999999993,75924.0,40.691489361702125,20.8,2.833158447009444,2.833158447009444,0.41972717733473247,0.8394543546694649,0.0,0.0,0.0,0.0,6.8205666316894025,0.0,0.0,0.0,6.190975865687304,0.0,0.0,0.0,0
